area_unit_name,2 + bedrooms needed (severely crowded),1 bedroom needed (crowded),total_crowded,total_crowded_percent,No extra bedrooms required,1 bedroom spare,2 or more bedrooms spare,total_not_crowded,total_not_crowded_percent,total_stated,total_unknown,total_households,average_household_size
Wellsford,6,21,27,4.3,93,204,300,600,96.2,624,33,663,2.5
Leigh,..C,3,3,1.9,21,51,78,153,98.1,156,24,183,2.3
Warkworth,9,36,45,3.0,213,504,765,"1,479",97.0,"1,524",39,"1,563",2.4
Waimauku,..C,6,6,1.9,42,105,168,315,97.2,324,12,330,3.1
Huapai,..C,9,12,2.2,87,189,252,528,97.8,540,36,576,2.6
Riverhead Urban,..C,12,12,2.9,87,153,156,396,97.1,408,18,426,3.0
Kumeu East,..C,15,15,3.4,78,123,222,423,95.9,441,36,474,2.9
Kumeu West,..C,9,9,1.6,114,156,285,558,98.4,567,42,609,2.8
Waipareira West,..C,6,6,2.0,60,105,129,291,97.0,300,21,321,2.8
Waiwera,..C,6,6,5.0,42,42,33,117,97.5,120,21,141,1.9
Hatfields Beach,..C,9,12,2.5,84,171,207,462,97.5,474,18,489,2.8
Orewa,9,54,63,1.7,627,"1,419","1,593","3,639",98.3,"3,702",141,"3,846",2.1
Silverdale Central,..C,9,6,1.1,36,159,342,537,98.9,543,12,558,3.3
Red Beach West,..C,24,24,2.5,150,474,306,930,97.2,957,30,987,2.4
Red Beach East,..C,24,27,1.9,255,531,618,"1,404",97.9,"1,434",45,"1,479",2.5
Manly,..C,42,45,1.8,411,888,"1,104","2,406",98.0,"2,454",81,"2,532",2.6
Army Bay,3,15,18,1.3,186,417,732,"1,335",98.9,"1,350",45,"1,395",2.8
Vipond,..C,18,18,1.7,201,432,384,"1,011",98.0,"1,032",36,"1,068",2.6
Stanmore Bay West,..C,24,30,3.3,213,303,363,882,97.0,909,24,936,2.7
Stanmore Bay East,3,21,27,2.9,180,351,375,906,96.8,936,48,984,2.5
Wade Heads,..C,18,21,1.9,195,375,510,"1,077",98.1,"1,098",60,"1,155",2.8
Gulf Harbour,..C,15,18,2.1,132,255,468,855,97.9,873,39,915,2.8
Weiti River,..C,6,3,1.9,45,51,54,150,96.2,156,21,177,2.6
Stillwater,..C,6,6,1.9,66,114,138,315,98.1,321,3,327,2.7
Silverdale South,..C,9,12,3.6,63,99,159,324,97.3,333,21,351,3.1
Silverdale North,..C,9,9,3.7,48,78,111,234,96.3,243,21,264,3.0
Orewa West,..C,..C,..C,..C,..C,9,12,24,100.0,24,..C,24,3.6
